#timestamp x y z qx qy qz qw id
1732058848.114878 -0.000000 0.000002 -0.000001 -0.505569 0.527352 -0.471936 0.493534 1
1732058855.314890 0.014166 0.163274 -0.005063 -0.615348 0.371084 -0.314783 0.620125 8
1732058856.381534 0.143812 0.336594 -0.013002 -0.645409 0.297428 -0.249968 0.657647 9
1732058859.314878 0.655826 0.600893 -0.189993 -0.437508 0.571412 -0.553376 0.419344 10
1732058861.348223 0.672557 0.668682 -0.202819 -0.537917 0.473664 -0.453423 0.529807 12
1732058862.348223 0.654131 0.743429 -0.206914 -0.633874 0.325997 -0.305675 0.631263 13
1732058863.381534 0.882371 0.976193 -0.195547 -0.651171 0.288457 -0.274764 0.645967 14
1732058864.381556 1.335761 1.418665 -0.186301 -0.654030 0.289388 -0.271225 0.644156 15
1732058865.381556 1.764006 1.805310 -0.202212 -0.651579 0.286589 -0.271958 0.647572 16
1732058866.381556 2.159109 2.102623 -0.196172 -0.622878 0.351397 -0.345776 0.607440 17
1732058867.381556 2.272055 1.956701 -0.193805 -0.523002 0.482879 -0.480651 0.512124 18
1732058868.414878 2.236194 1.878512 -0.190719 -0.374379 0.602903 -0.600590 0.368292 19
1732058869.414878 2.154655 1.813856 -0.176337 -0.220840 0.676899 -0.669624 0.211285 20
1732058870.448212 2.057920 1.776583 -0.182391 -0.046729 0.706878 -0.704595 0.041049 21
1732058871.481545 2.049725 1.769624 -0.187713 0.036941 0.706218 -0.706037 -0.037454 22
1732058872.514890 2.095717 1.766001 -0.179784 -0.100252 0.703069 -0.696734 0.101020 23
1732058873.548223 2.181188 1.794020 -0.171241 -0.282154 0.653449 -0.643255 0.282164 24
1732058874.581556 2.235751 1.884615 -0.184730 -0.441075 0.557242 -0.548824 0.440144 25
1732058875.581556 2.295435 1.986390 -0.201104 -0.527109 0.470305 -0.471204 0.528144 26
1732058876.614890 2.847989 2.024440 -0.227712 -0.531552 0.470408 -0.464756 0.529312 27
1732058877.648212 3.110779 1.864336 -0.213900 -0.413588 0.578120 -0.567829 0.415080 28
1732058878.681556 3.060090 1.811263 -0.216363 -0.248031 0.666212 -0.657167 0.250548 29
1732058879.681556 2.978828 1.786908 -0.212463 -0.089116 0.707513 -0.695095 0.091247 30
1732058880.714890 2.865135 1.808477 -0.204958 0.096397 0.705440 -0.695707 -0.095147 31
1732058881.748212 2.858945 1.837964 -0.203704 0.210768 0.679919 -0.671190 -0.206860 32
1732058882.781556 2.900825 1.830587 -0.190066 0.111366 0.708663 -0.689140 -0.102376 33
1732058883.814890 2.963117 1.791979 -0.209100 -0.067194 0.713750 -0.692259 0.082604 34
1732058884.814890 3.047860 1.796752 -0.218058 -0.245338 0.670343 -0.649286 0.262445 35
1732058885.814890 3.090864 1.881593 -0.222356 -0.405099 0.578757 -0.567358 0.423131 36
1732058886.848223 3.128308 1.961460 -0.236611 -0.515407 0.473102 -0.476763 0.532191 37
1732058887.881556 3.537786 2.100071 -0.238188 -0.570683 0.413146 -0.410933 0.578588 38
1732058888.881556 3.688503 2.266005 -0.245895 -0.625721 0.313968 -0.322571 0.637060 39
1732058889.881556 4.141398 2.578776 -0.232754 -0.627541 0.322304 -0.323921 0.630387 40
1732058890.914890 4.307125 2.608193 -0.209513 -0.556140 0.423240 -0.430974 0.570822 41
1732058891.914890 4.249381 2.545872 -0.208774 0.447559 -0.538899 0.543346 -0.462659 42
1732058892.948223 4.212943 2.455990 -0.223960 -0.266241 0.652804 -0.651902 0.279261 43
1732058893.948223 4.165826 2.405399 -0.216351 -0.094968 0.701177 -0.698529 0.106718 44
1732058894.948223 4.118740 2.426151 -0.214978 0.086475 0.702469 -0.702127 -0.077958 45
1732058895.948223 4.099130 2.444832 -0.219716 -0.248529 -0.659949 0.666594 0.241565 46
1732058900.048223 3.823261 2.149124 -0.212605 -0.289138 -0.646230 0.650523 0.274965 50
1732058901.081556 3.668437 1.965900 -0.210671 -0.234772 -0.665963 0.670315 0.228153 51
1732058903.081556 3.618343 1.894467 -0.212623 0.142486 0.693495 -0.692464 -0.138763 53
1732058904.114878 3.635221 1.889508 -0.186985 0.093222 0.706127 -0.696817 -0.084499 54
1732058905.114878 3.714544 1.855689 -0.211156 -0.093985 0.704978 -0.695036 0.105345 55
1732058906.148223 3.781042 1.881171 -0.230509 -0.278983 0.648145 -0.645844 0.291481 56
1732058907.181556 3.827797 1.940294 -0.245428 0.435970 -0.551306 0.551449 -0.449328 57
1732058908.181556 3.891490 2.003420 -0.249956 -0.530978 0.458073 -0.465786 0.539699 58
1732058909.214878 4.398518 2.086585 -0.241874 -0.541419 0.449556 -0.455914 0.544892 59
1732058910.248223 4.781062 2.068337 -0.246304 0.450199 -0.537986 0.548737 -0.454730 60
1732058911.248223 4.770495 2.014466 -0.240369 0.299662 -0.631729 0.645022 -0.308330 61
1732058912.248223 4.710958 2.001832 -0.240688 0.130994 -0.688783 0.698412 -0.143668 62
1732058913.281556 4.635013 2.019580 -0.237986 -0.052227 -0.704054 0.707176 0.038509 63
1732058914.281556 4.567646 2.065825 -0.251509 -0.223462 -0.671237 0.675732 0.207105 64
1732058915.281556 4.569597 2.106345 -0.244493 -0.355884 -0.614488 0.618147 0.337114 65
1732058916.348223 4.591904 2.059971 -0.217226 -0.292297 -0.646364 0.650062 0.272388 66
1732058917.348223 4.402503 1.893403 -0.221175 -0.247193 -0.661031 0.669158 0.232727 67
1732058918.381534 3.951194 1.415605 -0.231895 0.233116 0.670268 -0.668967 -0.221088 68
1732058919.414878 3.524835 0.942604 -0.262760 0.246253 0.670583 -0.660551 -0.230975 69
1732058920.414878 3.247787 0.754925 -0.276588 0.322345 0.636474 -0.628885 -0.309027 70
1732058921.414878 3.089004 0.605696 -0.271431 -0.269245 -0.655552 0.655865 0.260000 71
1732058922.448223 2.850868 0.266272 -0.284730 0.199826 0.684204 -0.675763 -0.187828 72
1732058923.448223 2.680666 -0.032348 -0.286695 0.186492 0.685337 -0.682374 -0.172913 73
1732058924.481545 2.346754 -0.578099 -0.287123 -0.187641 -0.683756 0.684202 0.170692 74
1732058925.514890 2.059746 -0.993205 -0.283056 0.266295 0.660510 -0.656923 -0.247518 75
1732058926.514890 1.863172 -1.231425 -0.300989 -0.327716 -0.626129 0.634862 0.312274 76
1732058927.514890 1.515866 -1.490539 -0.307355 0.410295 0.586136 -0.573285 -0.399308 77
1732058928.548212 1.462745 -1.398076 -0.308146 -0.538496 -0.467972 0.455241 0.532710 78
1732058929.581556 1.518351 -1.310018 -0.316216 -0.638388 -0.310542 0.304222 0.635196 79
1732058930.648223 1.605540 -1.285642 -0.336385 -0.694308 -0.131792 0.138038 0.693911 80
1732058931.681545 1.648742 -1.305879 -0.302792 -0.712105 0.049642 -0.034144 0.699483 81
1732058932.714878 1.654613 -1.287983 -0.305212 -0.707421 0.113957 -0.093187 0.691292 82
1732058933.714890 1.567832 -1.277298 -0.278323 -0.717154 -0.025879 0.050353 0.694611 83
1732058934.714890 1.475816 -1.300050 -0.286525 -0.678267 -0.215494 0.235447 0.661877 84
1732058935.714890 1.429744 -1.360263 -0.290329 -0.597991 -0.378656 0.396869 0.584398 85
1732058936.781545 1.381267 -1.434468 -0.306502 -0.479440 -0.513528 0.529910 0.474996 86
1732058937.781556 0.989907 -1.514781 -0.321952 -0.461576 -0.531331 0.541935 0.459282 87
1732058938.848212 0.578201 -1.688419 -0.293518 -0.380571 -0.588416 0.604171 0.379355 88
1732058939.848212 0.079414 -1.893943 -0.293479 -0.426764 -0.561022 0.566331 0.427078 89
1732058940.914867 -0.052415 -1.840336 -0.296069 -0.562268 -0.428211 0.433316 0.559221 90
1732058941.914878 -0.011638 -1.788696 -0.298223 -0.653832 -0.272037 0.281037 0.647702 91
